unique_id,mode,gender,hold racket handed,play years,level,swing9_median_az,swing13_median_az,swing14_median_az,swing18_rms_ax,swing11_median_az,swing21_median_az,swing6_median_az,swing13_rms_ax,swing21_std_az,swing26_median_az,swing22_rms_ax,swing18_std_az,swing23_median_az,swing19_rms_ax,swing9_mean_gz,swing25_std_az,swing17_rms_ax,swing21_mean_ax,swing24_rms_ax,swing16_rms_ax,swing24_median_gx,swing24_median_az,swing11_rms_ax,swing14_rms_ax,swing27_median_az,swing17_median_az,swing21_rms_ax,swing25_min_gy,swing8_mean_ax,swing8_median_az,swing10_rms_ax,swing20_mean_ax,swing13_mean_ax,swing5_median_az,swing18_mean_az,swing7_rms_ax,swing19_median_az,swing22_median_az,swing8_max_ay,swing13_rms_az,swing26_mean_ax,swing20_median_gx,swing10_std_az,swing25_rms_az,swing12_rms_ax,swing9_mean_az,swing23_mean_gy,swing7_median_az,swing22_median_gy,swing9_rms_ax,swing27_max_ay,swing15_median_az,swing19_mean_ax,swing7_mean_az,swing20_median_az,swing12_std_az,swing10_median_az,swing27_mean_ay,swing21_median_gz,swing13_mean_az,swing16_median_az,swing22_mean_gy,swing5_mean_ax,swing5_mean_az,swing23_rms_az,swing9_mean_ax,swing22_median_gz,swing17_std_az,swing19_std_az,swing6_rms_ax,swing18_median_az,swing16_mean_az,swing15_std_az,swing13_std_az,swing17_median_gz,swing22_std_az,swing22_max_ay,swing27_mean_ax,mode,swing26_mean_gy,swing26_rms_ax,swing9_std_az,swing7_mean_gz,swing21_rms_az,swing7_max_ax,swing17_mean_ay,swing27_median_ay,swing25_max_ay,swing12_min_gy,swing22_mean_ax,swing8_rms_ax,swing22_min_ay,swing19_min_gy,swing23_std_az,swing10_mean_ax,swing25_mean_gy,swing5_mean_gz,swing17_median_gx,swing20_mean_gy,swing12_median_az
11,9,1,1,1,5,475.0,-425.0,-247.0,4220.070372,-214.0,266.0,-116.0,3934.852049,1813.554177,-171.0,3662.651634,1629.647647,235.0,3668.444024,-601.5154639,1859.573475,3899.448464,3227.587629,3253.363238,4236.407886,-114.0,-162.0,4139.456494,4107.024773,-201.0,194.0,3961.063626,-3973,3183.268041,-80.0,3932.759073,3465.134021,3115.453608,-259.0,-564.1030928,3640.876605,240.0,-94.0,1122,2257.981192,3216.731959,-2298.0,1765.687675,2074.804065,3800.847134,-489.1546392,1379.71134,-195.0,115.0,3997.221157,1395,-461.0,2969.43299,-476.4639175,-57.0,1674.068401,-43.0,-1679.78125,-16.0,-405.1030928,32.0,1208.649485,3154.505155,-628.8350515,2022.659783,3322.484536,-271.0,1554.785446,2050.44584,3713.643865,55.0,-450.4536082,2365.837142,2221.344311,705.0,1622.375972,988,2870.885417,9,2092.484536,3858.110473,1969.672658,-664.371134,1928.682283,7885,-1265.958763,-1369.5,1283,-3171,2967.484536,3856.608479,-9299,-2346,2015.056272,3174.030928,1121.340206,-482.3195876,-2257.0,865.814433,-203.0
12,9,1,1,1,5,-96.0,160.5,105.0,4176.886695,97.5,-644.0,-196.0,4078.377079,2271.287967,-156.5,4050.562871,1993.851657,-79.0,4051.565045,-395.91,1879.866261,3961.6361,2754.861386,3785.593738,4014.664247,-695.0,-157.0,3496.149692,4056.70655,111.0,-52.0,3709.194392,-2894,3189.86,-60.0,3944.696012,3307.51,3287.88,93.0,-913.7,3954.675467,-121.0,-152.5,1607,1940.068501,3534.11,-618.5,1272.318941,1944.419456,3832.675974,-482.64,1668.46,-177.0,1341.5,4012.399817,2001,140.0,3233.89,-608.4059406,-182.0,1381.893216,-130.5,-1342.27,557.0,-248.19,-92.5,1156.42,3269.71,-364.35,2390.085666,3305.27,478.0,2046.427402,2453.043716,3927.066512,-153.5,-642.8,1355.437883,1924.127728,151.0,1521.120484,944,2929.82,9,1567.34,4071.09623,2099.531098,-618.9405941,2417.780336,9389,-2127.4,-1255.5,2081,-3295,3246.87,3997.133253,-10281,-3280,2359.395237,3140.29,1973.46,-459.08,-1743.0,1390.68,-111.5
13,9,1,1,1,5,81.0,-135.0,1.5,3871.266068,-91.0,-1.0,208.0,4022.287932,1234.595292,80.0,3351.697289,1985.335949,-58.0,4237.738067,-127.7582418,1502.858938,2979.883306,3401.428571,4010.029165,3115.524842,-1025.0,-66.0,3833.590941,3329.709494,8.0,3.0,3842.069649,-2552,2593.593407,-55.0,3606.960725,3053.923077,3236.956044,-17.0,-564.9340659,4023.842027,40.0,265.0,798,2602.064559,3094.164835,-62.0,1276.51622,1579.122799,4022.817717,-558.2967033,1253.714286,70.0,-317.0,3477.596342,1246,44.0,3556.450549,-208.3516484,-27.0,1541.288942,-178.0,-2360.230769,7.0,-278.4505495,161.0,191.4725275,3407.571429,-623.4285714,1540.779883,2793.197802,517.0,1190.816545,1209.351528,4121.63094,253.0,-451.5934066,1406.392827,2587.122969,1110.0,1168.982925,3435,3316.153846,9,1462.725275,3760.962971,2141.63931,-151.956044,1314.43356,9049,-1209.747253,-1985.0,1340,-3118,2934.538462,3153.912304,-3989,-2370,1448.210996,2989.296703,1476.978022,-968.8241758,-2837.0,1933.472527,-20.0
14,9,1,1,1,5,38.0,19.5,67.5,3799.171001,45.0,-355.5,-252.0,4006.99732,1923.707158,-241.5,2787.037488,1462.406726,0.0,3971.168743,-866.7346939,1562.102642,3591.167127,3163.061224,3254.382717,3615.758455,643.0,-1529.0,3676.303859,3423.01355,78.0,12.5,3952.466399,-2480,2958.71134,158.0,3204.82645,3263.57732,3375.989796,367.5,-469.0714286,4073.501779,-138.5,-75.0,788,1609.240989,2992.704082,-1736.0,1119.725705,1578.398614,3360.555058,-506.4285714,1131.469388,96.5,443.5,3742.408808,1260,-64.5,3183.938776,-411.8163265,-66.0,1265.477864,41.5,-1169.505155,511.0,-400.8877551,-74.0,977.3469388,3035.928571,-598.5918367,1684.580169,2969.153061,875.0,1880.943037,2113.952989,3521.580878,73.0,-433.5154639,1989.491316,1558.507481,591.5,1685.389119,1683,3143.010309,9,1226.622449,3621.392478,1862.927551,-481.0510204,2018.515986,10103,-1009.102041,-539.0,1275,-2305,2517.77551,3363.643528,-4304,-2517,1602.750557,2777.714286,1336.520408,-518.5102041,-2059.5,966.0412371,138.0
15,9,1,1,1,5,56.0,-479.5,-7.0,3115.065503,-277.5,-9.5,5.0,3976.364667,1202.758383,291.0,3218.427409,1934.328223,-73.0,3262.27585,664.6483516,1457.293583,3340.189368,3351.588889,3981.022635,4072.082251,-540.5,16.0,4239.249442,3685.462538,-64.0,152.0,3905.087259,-2589,4139.166667,223.0,4430.664566,3322.833333,3309.722222,53.0,-912.1978022,3903.644035,-34.5,132.5,1485,2233.595442,3251.811111,-706.0,2078.778387,1539.486368,4659.181962,177.7142857,1506.637363,-106.0,446.0,3542.264944,1060,-237.5,2620.055556,-769.0888889,68.5,2321.504855,-195.0,-2122.733333,610.0,-654.0888889,-67.5,1446.877778,2653.153846,-846.6483516,1505.382749,2820.758242,604.0,1020.33673,1478.715178,3956.076086,-172.0,-559.6111111,1718.11929,2135.677018,423.0,1652.669895,1458,3556.311111,9,1571.288889,4020.234702,1462.705789,-670.4,1231.405268,7937,-524.8222222,-1395.0,1112,-3210,2733.677778,4824.906513,-6753,-2451,1410.533677,3467.9,1347.922222,47.85714286,-2734.5,2034.655556,-388.5
16,9,1,1,1,5,206.0,-29.5,81.0,3890.82946,29.0,-89.0,-399.0,3706.84015,2341.819767,246.0,4013.411944,1493.684465,-95.5,3495.502222,-535.2989691,2209.750931,3855.967094,2979.260417,4328.770356,3705.701644,-675.5,-359.0,3876.921269,3286.340041,1.0,21.0,3971.654303,-2880,3364.416667,-204.0,3947.028173,2970.791667,2970.479167,-81.5,-550.2708333,4042.053817,-264.0,-20.0,1680,2149.216209,3678.9375,-954.5,1717.280742,2245.921676,4008.003166,-301.6597938,1811.927083,67.5,1387.0,3870.875381,1531,147.5,2762.113402,40.35416667,-117.5,1609.2791,-193.0,-2302.90625,944.5,-530.5625,-50.5,1685.257732,3226.020833,-306.1458333,1763.697421,3290.835052,764.0,2080.102397,1991.431941,4144.843265,95.5,-747.5,1960.481727,2082.698669,333.0,1435.749802,1814,3697.625,9,1179.479167,4488.422329,2343.662817,185.1145833,2372.014567,10056,-1676.804124,-1460.5,1639,-2998,3351.969072,3989.49323,-8283,-2563,1653.675439,3345.479167,1757.649485,-401.375,-1753.0,1468.427083,-128.0
17,9,1,1,1,5,-30.5,-144.0,-4.0,3638.083458,-84.0,-188.0,34.5,3751.858379,1393.025718,149.0,3638.476707,2113.355342,211.5,3744.290787,-351.5673077,1087.002241,3852.56654,2459.807692,3763.949131,3756.83909,-941.0,189.0,3899.448981,3843.316127,-204.0,-248.5,2885.924172,-3097,2966.864078,127.0,4256.51029,3219.68932,3112.451923,58.5,-274.4134615,3722.384741,-236.0,286.5,2235,1450.444882,3109.653846,-1181.0,1857.497804,1140.074993,3939.237317,-415.7884615,1636.067308,-115.5,1522.0,4193.531328,1124,-19.0,3023.269231,-641.5096154,164.0,2185.964027,-208.5,-1995.669903,840.5,-462.0096154,229.0,1476.759615,2890.173077,-135.5288462,1441.275684,3452.442308,396.5,1275.169499,1465.547056,4138.251535,237.5,129.0,1330.303612,1374.89544,275.0,1998.892871,2954,3292.951456,9,1717.096154,3898.766015,1923.134879,-182.0,1566.882239,7897,-1851.932692,-1319.0,1216,-3500,3058.5,3620.340464,-7627,-2971,1370.851371,3347.307692,1027.682692,273.3365385,-1438.0,620.5145631,-300.0
18,9,1,1,1,5,-376.0,-17.5,11.0,4591.359476,-172.0,125.0,84.0,3639.423163,1987.830763,-137.0,3958.629942,1966.083983,-130.5,4017.335619,-517.893617,2298.828644,3865.707006,3394.989474,4032.557235,3575.481719,-1328.0,3.0,3192.279039,3722.34976,5.5,28.0,4017.583089,-3411,3099.053191,68.0,3682.493736,2651.595745,3059.808511,-238.5,-565.2446809,4259.994736,115.0,121.0,1089,1608.928,3514.138298,-1813.5,2054.382948,2317.827351,3709.787579,-407.6702128,1751.074468,-542.0,1705.5,4089.01669,985,-269.5,3219.265957,-492.7473684,-183.0,2347.511912,191.0,-1568.755319,335.0,-443.4148936,48.0,1702.585106,3367.893617,-806.1595745,2055.890706,3349.468085,-12.0,1355.465152,2184.58545,3785.71996,18.5,-155.8617021,1564.068087,1546.619714,300.0,1643.405913,1539,2838.882979,9,1753.489362,4059.915368,1686.577993,-406.2842105,1995.311797,10147,-1757.052632,-1238.5,720,-3429,3310.87234,3826.87632,-10312,-3515,2027.976079,3060.244681,1809.521277,-725.3085106,-1640.0,1415.755319,-22.0
19,9,1,1,1,5,-524.0,-625.5,-555.0,4669.81452,-358.0,-552.0,-380.0,3891.647555,2049.440907,-444.5,4016.834147,2463.380325,-1303.0,3211.063467,-397.2954545,2057.563841,4138.295936,3154.574713,3867.970208,4378.511587,-1083.0,-224.0,4030.474462,4313.256752,-1085.0,-1071.0,4004.391581,-4022,3292.352273,-408.0,4288.605135,3239.0,3051.602273,-623.0,329.2159091,4493.911595,-908.0,-254.0,1984,2738.977163,3104.5,-1694.5,2072.299102,2133.013159,4331.734741,-405.4090909,1479.977273,-936.0,1736.0,4341.395264,1129,-785.0,2607.545455,-401.6551724,-247.0,2085.068183,-539.0,-2908.517241,80.0,-430.6931818,-590.0,1788.102273,3260.909091,-567.3068182,2655.417077,3316.159091,-245.0,2454.016508,1590.748113,4272.902146,-57.0,-402.7386364,2495.633664,2704.902823,256.0,2418.795814,1258,3335.988506,9,1572.386364,3886.976539,2560.577818,-428.2183908,2131.055677,13403,-1701.45977,-2165.0,1265,-2804,3238.568182,4194.776377,-4143,-3689,2569.706193,3257.340909,1552.068182,-404.8522727,-679.0,1672.602273,-708.5
20,9,1,1,1,5,-880.0,-333.0,-183.0,4336.831033,-312.0,-751.0,-794.0,4432.278063,2092.754972,-384.0,4106.198524,2638.419888,-903.0,4361.057524,453.1358025,2012.252284,3629.621929,3659.5,3396.06284,4796.493915,-2571.0,-376.0,4242.347245,4176.963009,-680.0,-460.0,4682.374638,-2577,3748.45679,-342.0,4387.747856,3272.691358,3563.54321,-777.0,-680.2222222,4549.867788,-577.5,-663.0,1012,2009.024952,3352.469136,-3242.0,2676.595622,2250.000772,4066.835563,-1205.123457,1778.4125,-804.5,450.0,2697.40647,1345,-774.0,3379.375,-282.2625,-430.0,2573.107851,-406.0,-3104.0,-29.5,-199.6049383,-287.5,1510.345679,3528.275,-451.3125,2285.724713,2214.209877,67.0,2168.40537,2000.895252,4708.171247,-1194.0,-90.2125,2034.859942,1999.084572,367.0,2574.400894,858,2818.9625,9,1542.320988,4218.443423,1334.304511,-667.325,2172.920886,10708,-2866.580247,-2259.5,1040,-3297,3261.925926,4775.883052,-3621,-3133,2069.079382,3486.425,1613.6375,-559.1375,-1182.0,1108.666667,-949.0
21,9,1,1,1,5,-482.0,-659.5,-477.5,3882.699335,-544.0,-310.0,-709.0,3463.374474,1804.118419,-730.5,4563.467365,2295.209968,-125.5,4300.734919,-1032.25,1084.801477,4091.992907,3214.28125,2062.878541,4679.749711,-108.0,579.0,3736.231197,3734.21099,-68.5,-1398.0,4037.259574,-2996,3504.322917,-825.5,4175.552994,3175.65625,2738.083333,-1027.5,-436.15625,4069.19329,-522.5,-1190.0,940,2182.525761,2510.40625,-1446.0,1689.58785,1088.171388,4147.994207,-984.8541667,411.84375,-867.5,1631.0,3743.698788,1679,-758.5,3461.364583,-756.2604167,-973.5,1583.669937,-1085.5,-1482.3125,-10.0,-431.8854167,-66.5,1717.659794,3354.072917,-691.25,1111.488576,3127.03125,-490.0,1975.887219,2132.253389,3764.474257,-624.5,27.96875,2142.228865,2139.36759,174.0,2436.586056,1069,3162.375,9,1430.510417,3219.972391,2164.937812,-598.7291667,1885.367584,9804,-2836.0,-1092.5,384,-3003,3676.989691,4222.459568,-9583,-3560,1109.457297,3201.114583,-686.2291667,-301.96875,-215.0,1154.15625,-786.5
22,9,1,1,1,5,-829.0,-1014.0,-467.5,4265.299713,-882.0,-522.0,-417.5,4439.195078,2328.032017,-906.0,4210.839138,1852.335729,-524.0,4069.62844,-777.9125,2125.359311,4037.283257,3054.666667,4174.973947,2916.275735,-298.0,-381.0,4187.389267,4276.755233,-551.5,-880.5,3875.983784,-2917,2874.790123,-714.0,3893.194334,3531.567901,3658.518519,-223.0,-788.6666667,4300.460512,-292.5,-828.5,1276,2083.91107,3655.197531,-1862.0,2865.91287,2191.972417,3891.110183,-509.6625,1367.666667,-990.0,1555.0,4285.828982,1204,-1008.0,3385.9625,-499.0617284,-1057.0,2431.758307,-768.0,-1340.25,99.0,-681.5185185,-216.0,1477.2375,3669.530864,36.69135802,2188.177939,3692.6625,-552.5,2348.169135,2340.525194,3894.594313,-614.0,-947.5308642,1633.737433,1969.319135,-382.0,1945.354886,1192,3089.575,9,1234.395062,4617.892862,1780.918793,-560.5061728,2394.466821,8298,-1734.2,-1709.0,1321,-3562,3256.6,3791.647624,-9600,-3786,2164.15763,3032.567901,1524.05,-153.7283951,-947.0,1149.814815,-137.0
