unique_id,mode,gender,hold racket handed,play years,level,segment5_Az_median,segment9_Az_median,segment23_Az_median,segment8_Az_median,segment10_Az_median,segment13_Az_median,segment7_Az_median,segment12_Az_std,segment12_Az_median,segment17_Az_std,segment20_Az_std,segment18_Az_std,segment1_Az_mean,segment19_Az_median,segment18_Az_mean,segment15_Az_median,segment4_Az_median,segment14_Az_std,segment25_Az_median,segment7_Ax_max,segment1_Az_median,segment12_Ax_std,segment26_Ax_mean,segment13_Az_std,segment4_Az_std,segment12_Ax_mean,segment18_Az_median,segment20_Az_median,segment20_Gz_mean,segment21_Gx_max,segment0_Az_median,segment8_Az_mean,segment3_Az_median,segment9_Ax_std,segment15_Gz_median,segment12_Gx_max,segment16_Gz_mean,segment25_Ax_std,segment14_Gx_max,segment10_Az_std,segment13_Ax_std,segment17_Az_median,segment3_Ax_max,segment11_Az_median,segment21_Gz_mean,segment14_Gz_median,segment25_Az_mean,segment16_Gx_max,segment7_Az_std,segment0_Ay_mean,segment25_Ax_mean,segment20_Ax_mean,segment7_Ax_mean,segment7_Ay_max,segment6_Az_std,segment6_Ax_std,segment26_Ay_max,segment21_Az_std,segment3_Gz_mean,segment0_Ay_median,segment19_Az_std,segment8_Ax_std,segment16_Ax_std,segment10_Ax_std,segment15_Ax_mean,segment10_Ax_mean,segment14_Gx_std,segment5_Ax_max,segment26_Ax_max,segment16_Az_mean
11,9,1,1,1,5,-125.0,-43.0,-162.0,475.0,-214.0,-252.0,-82.0,2223.617420458062,-425.0,1630.0423175027772,1812.190760056542,2047.9108535966311,-399.87628865979383,-57.0,-449.9587628865979,21.0,-259.0,2366.330736393687,-150.0,9749.0,84.0,2403.7932426581174,2850.2061855670104,1785.465876698313,2378.156730807372,3122.721649484536,217.0,266.0,-719.1340206185567,7328.0,224.0,-485.2783505154639,-8.0,2325.3241611108624,324.0,8289.0,46.49484536082474,2121.90653337513,8766.0,2366.8367335958724,2325.145998042212,55.0,9926.0,-203.0,-914.5876288659794,153.0,-495.97938144329896,9367.0,1605.0021079757,-1841.9791666666667,3225.938144329897,3202.103092783505,3194.144329896907,1122.0,2011.1950013373112,2008.9039736807467,1395.0,1624.9574888853094,-756.1340206185567,-1964.0,1422.2347575562271,2216.848917008497,2340.0590446044507,2605.3635918715295,3432.5154639175257,3155.505154639175,4316.997385867716,10083.0,8283.0,-217.95876288659792
12,9,1,1,1,5,-196.0,-143.0,-157.0,-96.0,97.5,105.0,-60.0,1894.4724720882064,160.5,1989.899381250218,2283.5458786338204,2458.04751888567,-47.72,-182.0,-416.07,-92.5,93.0,1355.5695011322732,-156.5,8791.0,142.5,2426.280509339347,2931.089108910891,1604.6567477532349,1717.9400062574944,3273.7,-121.0,-676.0,-340.7722772277228,7465.0,270.5,-472.6,-93.0,2396.1691688818632,-40.0,10041.0,-894.41,2022.4248273792523,4392.0,1901.9592471711903,2507.6377546445524,-153.5,9192.0,-111.5,-685.78,-59.0,-528.85,9108.0,1570.7909248528272,-1276.6,3548.24,2723.792079207921,3213.99,1607.0,2195.712374623618,2535.942695791373,2001.0,1518.3774611077445,-857.87,-789.5,1813.200586669881,2272.6330016964903,2426.5613558902646,2194.631351708072,3183.64,2755.49,2497.680445113025,9315.0,9675.0,-277.85
13,9,1,1,1,5,208.0,-244.0,-66.0,105.0,-91.0,-5.5,-56.0,2587.169736601135,-125.0,1985.7205845299857,1235.2271153787224,1208.1704854821185,-729.6593406593406,35.0,-312.8901098901099,167.0,-9.0,1406.110767385768,75.0,8668.0,4.0,2396.766885905625,3324.054347826087,1204.4532324674642,1657.5727183895087,3227.296703296703,40.0,-1.0,-113.35164835164836,6693.0,-274.0,-505.010989010989,112.0,2017.6362748683257,421.0,9441.0,645.4175824175824,2136.2526679720504,8006.0,2571.049712252106,1985.8509476233985,288.0,8411.0,-17.0,486.46153846153845,-345.0,-153.9120879120879,9321.0,1540.6628111293232,-2230.395604395605,3088.989010989011,3384.5824175824177,2543.296703296703,798.0,1167.0335481466238,2142.7961408617743,1246.0,1171.5878163207767,-486.3406593406594,-1921.0,1993.3696485423832,2179.340645210981,1735.5965655859125,2306.3918884375125,2565.285714285714,3077.4395604395604,3661.4864367107302,9853.0,7894.0,-396.6703296703297
14,9,1,1,1,5,-235.0,41.5,-1529.0,60.5,45.0,73.0,158.0,1561.1284984829117,-17.5,1439.154913501749,1911.0678618115528,2118.5014738710556,-599.0714285714286,-66.0,-587.4897959183673,-71.0,367.5,1986.3970451946032,-226.0,7294.0,-19.0,2162.290136672694,3132.591836734694,1287.2500193221588,2076.110706604211,3351.5510204081634,-138.5,-355.5,-634.2857142857143,4452.0,-482.0,-487.51020408163265,-13.0,1598.4024693354015,-140.0,7897.0,212.71428571428572,2037.360252002327,6532.0,1643.8634474432683,1869.1195394263996,73.0,9050.0,138.0,279.42857142857144,-139.0,-642.9285714285714,6511.0,1197.02790044849,-1501.6701030927834,3003.826530612245,3163.4489795918366,2975.1958762886597,788.0,2012.8882845929536,2436.296983065036,1260.0,1709.1050783025942,-665.1237113402062,-1481.0,1149.6651406359942,2281.519506180121,2184.297900993181,1968.751849222008,3032.6082474226805,3105.183673469388,3006.031698063512,8219.0,8552.0,-211.77551020408163
15,9,1,1,1,5,37.0,-124.0,47.5,50.0,-277.5,-8.0,262.0,2106.1444555817575,-479.5,1946.7854306165243,1201.715038888737,1490.5192938811958,-221.53333333333333,68.5,-708.8888888888889,-67.5,53.0,1689.4623158103318,296.5,9020.0,-74.5,2198.926800666943,3542.2417582417584,1622.4894399817565,1805.2936830921144,3320.9444444444443,-34.5,-14.0,-246.9111111111111,10193.0,73.5,99.08791208791207,283.5,2796.946061729154,22.5,8667.0,661.8444444444444,2362.834999150359,9620.0,2265.317616408321,2017.988294124324,-172.0,7490.0,-388.5,-342.72222222222223,335.0,-12.38888888888889,7441.0,1884.670232837355,-2354.133333333333,3254.788888888889,3352.511111111111,4130.488888888889,1485.0,1538.9837838371077,1987.4637165722947,1060.0,1653.20625571966,275.64444444444445,-1851.0,2127.3384861585514,2035.3833233655664,1648.2786093226523,2454.1843980998133,3382.2555555555555,3459.3888888888887,4758.009195018074,7542.0,8798.0,145.63333333333333
16,9,1,1,1,5,-403.0,-193.0,-433.5,206.0,29.0,81.0,-221.0,2082.9362200689197,-29.5,1490.751460248367,2341.845433567771,1986.1665230609667,-260.7916666666667,-117.5,-662.8350515463917,-50.5,-81.5,1958.102166293039,246.0,8564.0,145.5,2217.7916137290904,3695.1237113402062,1159.5213333984052,2457.894097744007,2974.0625,-264.0,-89.0,-188.65625,9571.0,31.0,-301.1443298969072,-28.5,2083.102455436062,-129.5,10429.0,-693.1958762886597,2574.1038724367263,9040.0,2071.091291169659,1901.246785215724,98.5,9841.0,-115.5,-329.55670103092785,-606.0,-121.875,8772.0,1612.1714317219544,-1778.6770833333333,3693.9375,2976.90625,3355.4166666666665,1680.0,1996.1178628680568,2591.166070021479,1531.0,1435.1226285867456,-437.3541666666667,-1485.5,1286.4533413786412,2042.1025095673456,2175.796854283653,2279.047123062194,3147.1041666666665,3130.237113402062,4203.205837306078,10719.0,8521.0,-493.4226804123711
17,9,1,1,1,5,14.5,-208.5,189.0,-30.5,-75.0,-19.5,127.0,1381.6039703810327,-144.0,2112.899447524972,1397.119870519295,1466.0274402688722,-547.3365384615385,164.0,-684.5769230769231,229.0,94.0,1330.785536214859,146.5,7701.0,-20.5,2104.6031061402055,3268.875,2032.8384282454251,1334.199305569542,3096.375,-236.0,-188.0,126.375,8884.0,-27.0,-425.27884615384613,-18.0,2635.607536919133,204.0,9154.0,-451.78846153846155,2350.6670439271757,9089.0,1868.9297199157777,2116.7542348497705,233.0,7950.0,-300.0,-213.22115384615384,751.5,-110.23076923076924,8762.0,1486.7170049235378,-1152.2135922330096,3110.7115384615386,2456.8365384615386,2969.495145631068,2077.0,1850.3790504049475,2180.691698187614,1124.0,1999.1713574614064,-93.44660194174756,-670.0,2318.346274886059,2352.9691145117386,2158.908964879958,2084.3995695969493,2969.330097087379,3341.394230769231,3851.461674811834,10121.0,7656.0,-545.4519230769231
18,9,1,1,1,5,84.0,191.0,3.0,-345.5,-172.0,11.0,68.0,1548.421057416312,-17.5,1987.9063838543211,1967.0676647700589,2178.9828950149586,-592.6489361702128,-183.0,-285.1063829787234,44.5,-238.5,1564.2256091916165,-108.5,10229.0,-12.0,1976.2466212526904,2819.778947368421,2325.272040105978,1437.0323894708886,3036.191489361702,115.0,125.0,-417.88421052631577,7680.0,-109.5,-399.5425531914894,61.0,2052.5203018257753,527.5,8330.0,-252.2,2026.8294349264545,7402.0,1199.7072225479826,2273.6375977190764,24.5,8825.0,-22.0,-940.2553191489362,-305.5,-587.8936170212766,7163.0,2300.4146711238336,-1372.276595744681,3519.925531914894,3395.0421052631577,3092.595744680851,1089.0,1678.2171279791714,2412.19515856236,985.0,1648.457529330751,-445.85263157894735,-392.5,1397.6102539371864,2341.468775731908,2043.399093222571,1524.734477261397,2832.0851063829787,2806.926315789474,3836.79514829229,9086.0,9796.0,-293.2631578947368
19,9,1,1,1,5,-380.0,-539.0,-249.0,-516.5,-358.0,-579.0,-424.5,2704.372755157434,-571.5,2411.400116252207,2050.992695531877,1628.9527093306108,-524.625,-247.0,-1210.159090909091,-632.0,-531.5,2493.371752911702,-418.5,9403.0,-75.5,2416.7824881526517,3337.215909090909,2162.5448539188105,2586.1136336422915,3049.3636363636365,-908.0,-552.0,-669.2988505747127,11630.0,-292.0,-392.10227272727275,-648.0,2782.990500064708,-223.5,10036.0,-373.9080459770115,2340.7227992676458,9013.0,2461.0007583756633,2665.5627594216157,-44.0,9489.0,-708.5,-455.60227272727275,49.0,-110.0,9544.0,1988.1714183749284,-1007.5862068965516,3111.125,3153.390804597701,3323.943181818182,1984.0,2875.484739434754,2959.4466462680625,1129.0,2421.708405680501,-826.2413793103449,-545.0,2343.049028509647,2805.3240096413547,2506.018748907743,2451.1942009358513,3452.3977272727275,3199.7586206896553,4556.608193699391,11418.0,10220.0,-691.2183908045977
20,9,1,1,1,5,-794.0,-394.5,-376.0,-882.0,-319.0,-159.5,-335.0,2003.5981549526073,-335.0,2640.045290540922,2093.9092982684324,2000.1905807634932,-448.0864197530864,-430.0,-600.125,-315.5,-754.0,2034.9231981813396,-384.0,9888.0,-461.0,2633.3130756341425,2824.456790123457,2421.39446084276,2732.284290547929,3573.543209876543,-577.5,-751.0,-697.05,9293.0,-1036.0,-1252.4938271604938,-324.0,2645.909831111975,-243.5,10509.0,-610.1728395061729,2576.348018244257,9365.0,1909.058036679466,2442.9749765590623,-1194.0,8256.0,-888.5,-660.1851851851852,22.0,-274.48148148148147,8385.0,2998.7827021749326,-1607.5625,3321.6666666666665,3682.825,3802.938271604938,1012.0,2766.249089442914,2736.496180793973,1345.0,2571.844827274168,-57.0,-1783.5,2236.133706776072,1555.0734365554326,2283.641212876488,2671.9142437504256,3889.45,3324.9506172839506,4539.834735639242,12611.0,8399.0,-421.55555555555554
21,9,1,1,1,5,-687.0,-1085.5,579.0,-461.5,-544.0,-492.0,-825.5,2138.93519069653,-622.5,2302.009154065054,1798.731093994487,2131.56470975447,-422.8229166666667,-973.5,-455.9479166666667,-8.5,-1027.5,2135.3335426910867,-746.5,10198.0,-302.5,2110.671459585352,3137.40206185567,1747.5378875132496,2121.66669193097,2757.0104166666665,-522.5,-310.0,-598.6354166666666,8409.0,-766.5,-914.9791666666666,-792.5,2666.1473175909136,-1241.0,8938.0,-447.5154639175258,2010.5948750625032,9772.0,2396.733720270042,2270.826363115258,-630.0,7918.0,-818.5,-894.4123711340206,104.5,-1096.0416666666667,10330.0,2509.208560967094,-1599.6979166666667,2519.09375,3246.65625,3480.03125,940.0,1641.043895695611,2503.1093375628384,1679.0,2436.328396345844,-26.8125,-1930.0,2317.682800233889,2089.677168023367,2665.103889542672,2220.62925362843,3964.5104166666665,2997.1649484536083,4930.26517186759,11156.0,9664.0,-1126.0103092783504
22,9,1,1,1,5,-417.5,-768.0,-381.0,-829.0,-912.5,-467.5,-714.0,1943.1996176019843,-1014.0,1852.1641692191783,2328.074376997346,2340.091571392026,-966.5555555555557,-1057.0,-321.75,-216.0,-223.0,1633.912818267401,-927.0,10441.0,-1156.0,2517.7451828917674,3066.6913580246915,2355.4227359435927,1959.809179128092,3655.308641975309,-292.5,-522.0,-260.2345679012346,9086.0,-263.5,-481.2125,-1005.0,2442.727051275994,37.0,9841.0,-551.55,2825.6246351692166,8896.0,1691.69555840989,2564.4182698031145,-634.0,8092.0,-137.0,-1193.975,601.0,-493.75308641975306,10231.0,2668.529563351914,-1471.475,3651.3703703703704,3088.716049382716,2916.9506172839506,1276.0,2236.4654229090384,2617.333121073179,1204.0,1944.1554747498976,-1026.4938271604938,-851.5,1662.0530660758293,2187.005766131802,2497.0550693516952,2274.6816870374964,2484.185185185185,3493.1875,4116.9469190725795,9952.0,8669.0,-625.0
23,9,1,1,1,5,-1019.0,-919.0,-516.0,-409.5,-242.0,-539.0,-721.5,2338.6244437974783,-666.5,2164.020695787709,1663.958455007839,1527.7277987729342,-1029.1704545454545,-593.5,-524.2386363636364,-469.5,-569.5,2490.2633506631364,-611.0,8007.0,-1255.0,2325.543346268115,3581.909090909091,2057.4403295048073,1714.8518735876598,2779.909090909091,-663.5,-1111.0,-186.17241379310343,11301.0,-421.0,-355.1363636363636,-987.0,2704.9875224798534,-254.5,9141.0,-331.81609195402297,2352.280882918448,10397.0,2361.8759429481324,2731.9044194303647,-483.5,11654.0,-970.5,-675.0454545454545,-127.0,-534.5909090909091,9211.0,1533.9478748134266,-1253.7816091954023,3398.0113636363635,3521.0919540229884,3183.4886363636365,1535.0,2121.2377177983203,2360.395394536548,1130.0,2394.343769872331,-102.83908045977012,-862.0,2492.5307054608757,2499.3330740326533,2565.7754730892275,2339.361976224838,3753.465909090909,3500.344827586207,5032.582715064083,9073.0,9692.0,-765.4367816091954
24,9,1,1,1,5,-433.0,-563.0,-499.0,-716.5,-757.0,-404.0,-410.5,1244.936323421805,-1056.5,3130.4766643586004,2287.0812465362674,1413.7098689595932,-577.0875,-286.0,-356.7375,-641.5,-659.0,2509.2119898486058,-364.5,7055.0,-691.0,2166.077586329723,3692.16049382716,1718.4525903523866,1301.3819456999356,2672.3,-686.5,-1184.0,-1810.4814814814815,7503.0,-310.0,-486.425,-323.5,2582.2261634827805,-145.5,10253.0,-647.6125,2015.353186168618,8914.0,2518.437523545105,2383.835391017544,-24.5,8938.0,-390.5,419.85,44.0,-25.625,8255.0,1438.365798777818,-1216.7125,3276.4,3513.098765432099,2679.575,764.0,1846.653795768609,2511.5276260293235,1061.0,1977.176526601444,-1251.175,-1148.0,2681.5041971578194,2553.5313973985126,2458.7270404367787,2637.1938500042047,3068.9,4123.85,4568.004441749565,7552.0,9437.0,-388.9875
25,9,1,1,1,5,-396.5,-459.0,-432.0,-1051.0,-1253.0,-216.5,-223.5,1647.8970168053183,-748.0,1871.4591930290203,1940.6095919392048,2038.5862243948268,-589.1931818181819,-359.5,-722.5340909090909,-218.5,-1177.5,2037.3752209168017,-158.0,10200.0,-476.5,2115.9070849699992,3252.808988764045,1869.6973989143887,1748.1017260156707,3535.193181818182,-1105.5,-1128.0,-822.0113636363636,10144.0,-477.5,-990.2359550561798,-621.0,2170.951408145499,-986.0,8797.0,-647.7386363636364,1956.562245827492,9572.0,1926.2679460284576,1816.409424721744,-598.0,8308.0,-312.0,-484.6136363636364,-263.5,-224.2159090909091,9388.0,2383.7709146709544,-1067.4431818181818,3200.2045454545455,3247.2386363636365,3567.9772727272725,1207.0,2174.37623001849,2529.721710529067,379.0,2625.795689617854,-851.6363636363636,-606.0,2359.197440995385,2658.1033712272706,2764.0417614405906,2521.897341959673,3174.159090909091,3378.465909090909,4820.837786563608,12039.0,9009.0,-801.9431818181819
26,9,1,1,1,5,-563.0,-497.0,-569.0,-626.5,-810.0,-157.0,-528.0,1784.8601162247326,-813.0,2268.7943316321184,1745.5527895633984,1986.6936321534083,-802.6144578313254,-394.0,-1083.9518072289156,-429.0,-314.0,2706.821758488225,-519.0,8738.0,-1287.0,2342.768547740636,3492.404761904762,1640.695280022182,2287.8960572333112,2975.6506024096384,-1103.0,-792.0,-659.710843373494,9520.0,-346.0,-549.2619047619048,-1266.0,2220.927161528539,-22.0,8598.0,-753.5542168674699,2324.0632284792764,10716.0,1281.8330761563557,1858.9986897038175,-362.0,9034.0,-347.0,-427.66265060240966,-78.0,-244.84337349397592,9558.0,2099.0745601335498,-1237.987951807229,3249.3493975903616,3669.722891566265,3405.277108433735,1715.0,2011.672221997408,2396.5547525472357,911.0,2306.5391330401503,-506.5542168674699,-1125.0,2437.463716476454,2682.880299647979,2561.153996290153,2154.5452314360828,3403.0722891566265,3487.0481927710844,4763.616152921365,11440.0,8316.0,-733.2650602409639
